"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\GlobalStyled.jsx", "JavaScript JSX", 0, 2, 0, 0, 2
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\Card.jsx", "JavaScript JSX", 0, 2, 0, 0, 2
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\CardStyled.jsx", "JavaScript JSX", 0, 7, 0, 0, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\Input.jsx", "JavaScript JSX", 0, 2, 0, 0, 2
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 14, 0, 0, 14
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\PlanSkeleton\PlanSkeleton.jsx", "JavaScript JSX", 0, 15, 3, 3, 21
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\PlanSkeleton\PlanSkeletonStyled.jsx", "JavaScript JSX", 0, 39, 0, 2, 41
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Task\Task.jsx", "JavaScript JSX", 0, 17, 0, 3, 20
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Task\TaskStyled.jsx", "JavaScript JSX", 0, 11, 0, 0, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\main.jsx", "JavaScript JSX", 0, 23, 0, 0, 23
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\AllNps\AllNps.jsx", "JavaScript JSX", 0, 101, 0, 13, 114
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\AllNps\AllNpsStyled.jsx", "JavaScript JSX", 0, 84, 0, 2, 86
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\AuthenticationStyled.jsx", "JavaScript JSX", 0, 6, 0, 0, 6
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasks.jsx", "JavaScript JSX", 0, 34, 0, 3, 37
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasksStyled.jsx", "JavaScript JSX", 0, 18, 0, 0, 18
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Chores\Chores.jsx", "JavaScript JSX", 0, 8, 0, 1, 9
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Client\Client.jsx", "JavaScript JSX", 0, 229, 1, 10, 240
