"filename", "language", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\App.jsx", "JavaScript JSX", 0, 5, 0, 0, 2, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\Context\UserContent.jsx", "JavaScript JSX", 0, 13, 0, 1, 5, 19
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\GlobalStyled.jsx", "JavaScript JSX", 0, 284, 0, 0, 2, 286
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Button\Button.jsx", "JavaScript JSX", 0, 8, 0, 1, 2, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Button\ButtonStyled.jsx", "JavaScript JSX", 0, 19, 0, 0, 2, 21
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\Card.jsx", "JavaScript JSX", 0, 15, 0, 3, 2, 20
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\CardStyled.jsx", "JavaScript JSX", 0, 38, 0, 0, 3, 41
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\CreateEmployee\CreateEmployee.jsx", "JavaScript JSX", 0, 99, 0, 2, 8, 109
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\CreateEmployee\CreateEmployeeStyled.jsx", "JavaScript JSX", 0, 72, 0, 0, 4, 76
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\Delete.jsx", "JavaScript JSX", 0, 52, 0, 1, 4, 57
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\DeleteStyled.jsx", "JavaScript JSX", 0, 44, 0, 0, 2, 46
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ErrorSpan\ErrorSpan.jsx", "JavaScript JSX", 0, 4, 0, 1, 2, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ErrorSpan\ErrorSpanStyled.jsx", "JavaScript JSX", 0, 9, 0, 0, 2, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\Input.jsx", "JavaScript JSX", 0, 30, 0, 2, 3, 35
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\InputStyled.jsx", "JavaScript JSX", 0, 16, 0, 0, 2, 18
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Label\Label.jsx", "JavaScript JSX", 0, 4, 0, 2, 3, 9
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Label\LabelStyled.jsx", "JavaScript JSX", 0, 6, 0, 0, 2, 8
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 60, 0, 17, 7, 84
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\NavbarStyled.jsx", "JavaScript JSX", 0, 114, 0, 1, 5, 120
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Task\Task.jsx", "JavaScript JSX", 0, 93, 0, 2, 8, 103
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Task\TaskStyled.jsx", "JavaScript JSX", 0, 90, 0, 0, 5, 95
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\UpdateEmployee\UpdateEmployee.jsx", "JavaScript JSX", 0, 44, 0, 1, 3, 48
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\UpdateEmployee\UpdateEmployeeStyled.jsx", "JavaScript JSX", 0, 46, 0, 0, 2, 48
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\main.jsx", "JavaScript JSX", 0, 67, 0, 1, 3, 71
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\Authentication.jsx", "JavaScript JSX", 0, 82, 0, 1, 7, 90
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\AuthenticationStyled.jsx", "JavaScript JSX", 0, 74, 0, 0, 3, 77
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasks.jsx", "JavaScript JSX", 0, 169, 0, 1, 11, 181
