"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\Context\UserContent.jsx", "JavaScript JSX", 0, 13, 1, 5, 19
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\GlobalStyled.jsx", "JavaScript JSX", 0, 72, 0, 0, 72
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Button\ButtonStyled.jsx", "JavaScript JSX", 0, 4, 0, 0, 4
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\CardStyled.jsx", "JavaScript JSX", 0, 33, 0, 1, 34
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\CreateEmployee\CreateEmployee.jsx", "JavaScript JSX", 0, 50, 1, 5, 56
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\CreateEmployee\CreateEmployeeStyled.jsx", "JavaScript JSX", 0, 28, 0, 2, 30
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\Delete.jsx", "JavaScript JSX", 0, 52, 1, 4, 57
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\DeleteStyled.jsx", "JavaScript JSX", 0, 44, 0, 2, 46
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ErrorSpan\ErrorSpan.jsx", "JavaScript JSX", 0, 4, 1, 2, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ErrorSpan\ErrorSpanStyled.jsx", "JavaScript JSX", 0, 9, 0, 2, 11
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\Input.jsx", "JavaScript JSX", 0, 30, 2, 3, 35
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Input\InputStyled.jsx", "JavaScript JSX", 0, 16, 0, 2, 18
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Label\Label.jsx", "JavaScript JSX", 0, 4, 2, 3, 9
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Label\LabelStyled.jsx", "JavaScript JSX", 0, 6, 0, 2, 8
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 52, 15, 4, 71
