"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Card\CardStyled.jsx", "JavaScript JSX", 0, 7, 0, 0, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ChoreSkeleton\ChoreSkeleton.jsx", "JavaScript JSX", 0, 15, 0, 2, 17
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ChoreSkeleton\ChoreSkeletonStyled.jsx", "JavaScript JSX", 0, 34, 0, 2, 36
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ClientSkeleton\ClientSkeleton.jsx", "JavaScript JSX", 0, 28, 3, 2, 33
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\ClientSkeleton\ClientSkeletonStyled.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Delete\Delete.jsx", "JavaScript JSX", 0, 9, 0, 0, 9
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\InfoSkeleton\InfoSkeleton.jsx", "JavaScript JSX", 0, 43, 3, 3, 49
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\InfoSkeleton\InfoSkeletonStyled.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\Navbar.jsx", "JavaScript JSX", 0, 16, 0, 0, 16
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Navbar\NavbarStyled.jsx", "JavaScript JSX", 0, 14, 0, 0, 14
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\TaskSkeleton\TaskSkeleton.jsx", "JavaScript JSX", 0, 14, 0, 2, 16
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\TaskSkeleton\TaskSkeletonStyled.jsx", "JavaScript JSX", 0, 24, 0, 2, 26
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Task\Task.jsx", "JavaScript JSX", 0, 1, 5, 0, 6
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\components\Task\TaskStyled.jsx", "JavaScript JSX", 0, 21, 0, 1, 22
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\main.jsx", "JavaScript JSX", 0, 10, 0, 0, 10
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\Authentication.jsx", "JavaScript JSX", 0, 13, 0, 0, 13
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\AuthenticationStyled.jsx", "JavaScript JSX", 0, 7, 0, 0, 7
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasks.jsx", "JavaScript JSX", 0, 85, 0, 12, 97
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasksStyled.jsx", "JavaScript JSX", 0, 3, 0, 0, 3
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Chores\Chores.jsx", "JavaScript JSX", 0, 8, 0, 0, 8
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Chores\ChoresStyled.jsx", "JavaScript JSX", 0, 20, 0, 0, 20
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Client\Client.jsx", "JavaScript JSX", 0, 107, 6, 5, 118
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Client\ClientStyled.jsx", "JavaScript JSX", 0, 19, 0, -1, 18
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Clients\Clients.jsx", "JavaScript JSX", 0, 76, 37, 1, 114
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Clients\ClientsStyled.jsx", "JavaScript JSX", 0, 99, 0, 0, 99
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\DeletedClient\DeletedClient.jsx", "JavaScript JSX", 0, 247, 7, 11, 265
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\DeletedClient\DeletedClientStyled.jsx", "JavaScript JSX", 0, 16, 0, 2, 18
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\DeletedClients\DeletedClients.jsx", "JavaScript JSX", 0, 86, 1, 6, 93
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\DeletedClients\DeletedClientsStyled.jsx", "JavaScript JSX", 0, 72, 0, 2, 74
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Employee\Employee.jsx", "JavaScript JSX", 0, 34, 0, 2, 36
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Employees\Employees.jsx", "JavaScript JSX", 0, -2, 0, 0, -2
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 205, 0, 19, 224
