"filename", "language", "JavaScript", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\main.jsx", "JavaScript JSX", 0, 167, 0, 2, 3, 172
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\AllNps\AllNps.jsx", "JavaScript JSX", 0, 179, 0, 4, 18, 201
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\AllNps\AllNpsStyled.jsx", "JavaScript JSX", 0, 98, 0, 0, 2, 100
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Approval\Approval.jsx", "JavaScript JSX", 0, 55, 0, 2, 6, 63
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Approval\ApprovalStyled.jsx", "JavaScript JSX", 0, 74, 0, 0, 3, 77
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\Authentication.jsx", "JavaScript JSX", 0, 95, 0, 1, 7, 103
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Authentication\AuthenticationStyled.jsx", "JavaScript JSX", 0, 87, 0, 0, 3, 90
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasks.jsx", "JavaScript JSX", 0, 341, 0, 2, 32, 375
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ChoreTasks\ChoreTasksStyled.jsx", "JavaScript JSX", 0, 119, 0, 0, 6, 125
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Chores\Chores.jsx", "JavaScript JSX", 0, 139, 0, 1, 11, 151
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Chores\ChoresStyled.jsx", "JavaScript JSX", 0, 86, 0, 0, 4, 90
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ClientApproval\ClientApproval.jsx", "JavaScript JSX", 0, 197, 0, 2, 15, 214
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\ClientApproval\ClientApprovalStyled.jsx", "JavaScript JSX", 0, 152, 0, 0, 6, 158
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Client\Client.jsx", "JavaScript JSX", 0, 2120, 0, 61, 58, 2239
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Client\ClientStyled.jsx", "JavaScript JSX", 0, 385, 0, 0, 8, 393
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Clients\Clients.jsx", "JavaScript JSX", 0, 527, 0, 49, 32, 608
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\Clients\ClientsStyled.jsx", "JavaScript JSX", 0, 329, 0, 0, 7, 336
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\CreateClient\CreateClient.jsx", "JavaScript JSX", 0, 259, 0, 2, 14, 275
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\CreateClient\CreateClientStyled.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\CreatePreBriefing\CreatePreBriefing.jsx", "JavaScript JSX", 0, 692, 0, 4, 21, 717
"c:\Users\DigitalMix3\Desktop\apis\mixconnect-front-text\src\pages\CreatePreBriefing\CreatePreBriefingStyled.jsx", "JavaScript JSX", 0, 158, 0, 0, 3, 161
